"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","Выбор подсказки из списка","","Fri Oct 18 18:05:03 MSK 2024","passed","Fri Oct 18 18:05:03 MSK 2024","","Поиск товара","Выбор подсказки из списка",""
"","10","Получение результатов поиска товара","","Fri Oct 18 18:05:03 MSK 2024","passed","Fri Oct 18 18:05:03 MSK 2024","","Поиск товара","Получение результатов поиска товара",""
"","5","Товар не найден","","Fri Oct 18 18:05:03 MSK 2024","passed","Fri Oct 18 18:05:03 MSK 2024","","Поиск товара","Товар не найден",""
"","6","Товар не найден","","Fri Oct 18 18:05:03 MSK 2024","passed","Fri Oct 18 18:05:03 MSK 2024","","Поиск товара","Товар не найден",""
"","103","Получение списка подсказок при вводе названия товара","","Fri Oct 18 18:05:03 MSK 2024","passed","Fri Oct 18 18:05:03 MSK 2024","","Поиск товара","Получение списка подсказок при вводе названия товара",""
