"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Поиск товара","1","0","Выбор подсказки из списка","0"
"0","","0","Поиск товара","1","0","Получение результатов поиска товара","0"
"0","","0","Поиск товара","2","0","Товар не найден","0"
"0","","0","Поиск товара","1","0","Получение списка подсказок при вводе названия товара","0"
